model_name,count
Grand Am,18
Range Rover Hybrid Plug-in,18
Optima Hybrid Plug-In ,18
RX 300,18
Cube,18
RS 5,18
A8 Hybrid Plug-In,17
Uplander,17
Altima Hybrid,17
Evora,17
Dawn,16
Accord Crosstour,16
Elantra Coupe,16
XL-7,16
Baja,16
Aspen,16
Chevelle,16
Solstice,15
LX 470,15
G25,15
Lancer Evolution,15
Econoline Wagon,14
Focus RS,14
LR3,14
Rondo,14
6 Series Gran Turismo,14
Entourage,14
UX,14
Excursion,14
Viper,13
S-Series,13
G8,13
Continental Flying Spur,13
Q40,13
Rogue Hybrid,13
SC 430,13
Eldorado,13
Grand Vitara,13
H2 SUT,13
RS 7,13
X-TYPE,13
Mark LT,13
Huracan,12
Neon,12
Montego,12
Cooper Coupe,12
Allante,12
F-450 Super Duty Chassis,12
GS F,12
Stratus,12
Windstar,12
Mustang SVT Cobra,12
Nova,12
Gallardo,12
Revero,11
Malibu Maxx,11
Mulsanne,11
Portofino,11
Sierra 3500,11
Q50 Hybrid,11
Freestar,11
MAZDASPEED3,11
Bonneville,11
Model A,10
Bronco Sport,10
California T,10
GS 300,10
Prowler,10
F12 Berlinetta,10
HS 250h,10
Silverado Hybrid,9
ECHO,9
Fleetwood,9
L-Series,9
V70,9
Countryman Hybrid Plug-in ,9
Rodeo,9
RSX,9
SQ8,8
K900,8
Mustang Mach-E,8
V50,8
R32,8
Deluxe,8
Caprice,8
Monterey,8
Caravan,8
V8 Vantage,8
Touareg 2,8
RX-8,8
G5,8
RAV4 Prime,8
ProMaster Chassis,7
RX-7,7
Yukon Hybrid,7
Eclipse Spyder,7
Vanquish,7
Coupe,7
Jetta Hybrid,7
Tracker,7
Sonoma,7
S-TYPE,7
Riviera,7
F430 Spider,7
F-250,7
Rainier,7
Spider,6
RS 5 Sportback,6
Sierra 2500,6
California,6
Sierra Classic 1500,6
Focus Electric,6
Jimmy,6
Silverado Classic 2500HD,6
Revero GT,6
RS Q8,6
FX37,6
Cooper Paceman,6
Sierra 2500HD Classic,5
Model T,5
Venture,5
Roadster,5
RAM Van,5
Silver Spur,5
F-150 Heritage,5
Sunfire,5
Continental Supersports,5
QX4,5
B-Series,4
Marauder,4
Montana SV6,4
QX60 Hybrid,4
Seville,4
Cabrio,4
B-Class,4
SLS-Class,4
Concorde,4
F-350,4
Escalade Hybrid,4
CTS-V Wagon,4
Forenza,4
Murano CrossCabriolet,4
Mariner Hybrid,4
Delta 88,4
GranSport,4
Electra,4
Ranger Chassis,4
Silverado Classic 3500,3
Cutlass,3
Lancer Sportback,3
Silverado 2500,3
Fiero,3
L300,3
Safari Cargo,3
Legend,3
Econoline Cargo,3
Valiant,3
Ranchero,3
RS 6,3
Testarossa,3
Silverado 1500HD,3
Montero Sport,3
Cayenne Hybrid,3
F-150 SVT Lightning,3
Q5 Hybrid,3
Montana,3
Fairlane,3
ILX Hybrid,3
Discovery Series II,3
F-100,3
RAM 150,2
Vista Cruiser,2
i-Series,2
Pathfinder Hybrid,2
Super Beetle,2
Fury,2
Sephia,2
S70,2
CTS Sport Wagon,2
Mark VIII,2
Capri,2
Grand Ville,2
LX 450,2
Sierra 1500HD,2
RAM 3500 Chassis ,2
Mark VII,2
fortwo electric drive,2
RAM 4500 Chassis ,2
F355,2
Touareg Hybrid,2
Crossfire SRT-6,2
Lumina,2
Q45,2
Mark VI,2
MAZDASPEED6,2
Milan Hybrid,2
Catalina,2
Sierra 1500 Hybrid,2
ActiveHybrid 7,1
Mark IX,1
M35h,1
Silvia,1
Explorer Sport,1
M30,1
RAM Wagon,1
V40,1
LS Hybrid,1
M56,1
V12 Vantage,1
Silver Seraph,1
Super Bee,1
RAM 250,1
Spitfire,1
Hummer,1
Falcon,1
Sprinter Passenger,1
Grand Voyager,1
S60 R,1
F430,1
Super Deluxe,1
Gran Sport,1
Custom Cruiser,1
RAM 350,1
F-450,1
