power,count
"188 hp @ 5,800 RPM",285
"146 hp @ 6,000 RPM",277
"325 hp @ 7,000 RPM",275
"288 hp @ 6,500 RPM",271
"328 hp @ 7,000 RPM",264
"255 hp @ 6,400 RPM",264
"280 hp @ 6,200 RPM",263
"320 hp @ 5,500 RPM",262
"228 hp @ 4,500 RPM",259
"134 hp @ 4,400 RPM",255
"168 hp @ 6,100 RPM",252
"350 hp @ 3,900 RPM",252
"400 hp @ 2,800 RPM",250
"400 hp @ 5,750 RPM",248
"296 hp @ 5,500 RPM",246
"240 hp @ 3,600 RPM",244
"440 hp @ 2,800 RPM",244
"370 hp @ 5,250 RPM",243
"400 hp @ 5,000 RPM",242
"180 hp @ 6,000 RPM",241
"380 hp @ 6,500 RPM",239
"363 hp @ 5,200 RPM",236
"404 hp @ 5,500 RPM",235
"190 hp @ 7,000 RPM",234
"360 hp @ 5,500 RPM",231
"265 hp @ 6,250 RPM",231
"173 hp @ 6,500 RPM",227
"354 hp @ 5,400 RPM",226
"275 hp @ 6,000 RPM",216
"211 hp @ 5,800 RPM",216
"181 hp @ 5,500 RPM",215
"200 hp @ 6,300 RPM",215
"259 hp @ 5,300 RPM",214
"310 hp @ 5,600 RPM",213
"140 hp @ 6,000 RPM",213
"300 hp @ 6,500 RPM",212
"202 hp @ 5,200 RPM",210
"320 hp @ 5,000 RPM",208
"190 hp @ 6,300 RPM",208
"317 hp @ 5,200 RPM",206
"200 hp @ 5,700 RPM",205
"205 hp @ 5,200 RPM",204
"169 hp @ 6,000 RPM",203
"138 hp @ 6,000 RPM",202
"273 hp @ 6,250 RPM",202
"362 hp @ 5,250 RPM",201
"268 hp @ 5,500 RPM",200
"329 hp @ 5,250 RPM",200
"311 hp @ 6,400 RPM",200
"265 hp @ 6,000 RPM",199
"290 hp @ 6,300 RPM",198
"251 hp @ 6,000 RPM",196
"367 hp @ 5,500 RPM",195
"362 hp @ 4,750 RPM",195
"382 hp @ 6,000 RPM",194
"192 hp @ 6,300 RPM",194
"140 hp @ 5,100 RPM",193
"510 hp @ 6,000 RPM",193
"311 hp @ 6,000 RPM",189
"305 hp @ 6,600 RPM",184
"302 hp @ 5,700 RPM",184
"204 hp @ 6,400 RPM",182
"205 hp @ 5,700 RPM",182
"435 hp @ 6,500 RPM",181
"360 hp @ 5,400 RPM",180
"237 hp @ 5,500 RPM",180
"382 hp @ 5,800 RPM",179
"518 hp @ 6,000 RPM",179
"158 hp @ 6,400 RPM",178
"117 hp @ 6,600 RPM",176
"250 hp @ 5,400 RPM",176
"126 hp @ 6,000 RPM",175
"276 hp @ 6,300 RPM",174
"355 hp @ 5,500 RPM",173
"335 hp @ 5,300 RPM",172
"200 hp @ 5,200 RPM",172
"210 hp @ 5,300 RPM",171
"174 hp @ 5,000 RPM",170
"385 hp @ 5,500 RPM",168
"265 hp @ 6,400 RPM",164
"295 hp @ 5,200 RPM",163
"131 hp @ 5,200 RPM",163
"137 hp @ 6,300 RPM",163
"115 hp @ 5,200 RPM",162
"245 hp @ 6,000 RPM",162
"323 hp @ 6,800 RPM",161
"425 hp @ 5,500 RPM",160
"244 hp @ 5,750 RPM",158
"228 hp @ 6,000 RPM",157
"310 hp @ 5,100 RPM",157
"210 hp @ 5,100 RPM",156
"365 hp @ 5,700 RPM",155
"400 hp @ 6,400 RPM",151
"269 hp @ 6,200 RPM",151
"271 hp @ 6,200 RPM",151
"330 hp @ 7,000 RPM",150
"160 hp @ 6,400 RPM",149
"275 hp @ 6,200 RPM",148
"365 hp @ 3,200 RPM",147
"201 hp @ 7,000 RPM",145
"303 hp @ 6,350 RPM",143
"159 hp @ 5,200 RPM",142
"274 hp @ 6,000 RPM",138
"323 hp @ 4,600 RPM",138
"273 hp @ 6,200 RPM",137
"191 hp @ 6,300 RPM",137
"424 hp @ 5,750 RPM",136
"272 hp @ 6,200 RPM",136
"340 hp @ 5,500 RPM",135
"122 hp @ 5,200 RPM",134
"244 hp @ 5,700 RPM",134
"300 hp @ 6,000 RPM",134
"131 hp @ 5,600 RPM",134
"360 hp @ 2,800 RPM",133
"300 hp @ 6,800 RPM",132
"169 hp @ 6,400 RPM",131
"295 hp @ 5,500 RPM",130
"194 hp @ 5,700 RPM",130
"306 hp @ 6,400 RPM",129
"320 hp @ 5,200 RPM",128
"221 hp @ 5,800 RPM",126
"160 hp @ 6,000 RPM",126
"144 hp @ 6,500 RPM",125
"237 hp @ 6,000 RPM",125
"302 hp @ 5,600 RPM",125
"523 hp @ 5,500 RPM",125
"300 hp @ 5,200 RPM",125
"148 hp @ 6,500 RPM",124
"345 hp @ 5,750 RPM",124
"400 hp @ 5,500 RPM",123
"101 hp @ 6,500 RPM",122
"285 hp @ 5,500 RPM",119
"300 hp @ 5,600 RPM",119
"185 hp @ 5,200 RPM",118
"197 hp @ 5,200 RPM",118
"475 hp @ 6,000 RPM",117
"207 hp @ 5,250 RPM",116
"305 hp @ 4,250 RPM",116
"200 hp @ 6,000 RPM",116
"177 hp @ 5,500 RPM",116
"242 hp @ 5,600 RPM",116
"150 hp @ 3,500 RPM",115
"180 hp @ 4,000 RPM",113
"136 hp @ 6,300 RPM",112
"330 hp @ 5,400 RPM",112
"429 hp @ 6,100 RPM",112
"270 hp @ 7,000 RPM",111
"420 hp @ 6,500 RPM",108
"300 hp @ 4,400 RPM",108
"205 hp @ 6,600 RPM",108
"242 hp @ 6,000 RPM",107
"385 hp @ 6,100 RPM",106
"380 hp @ 5,250 RPM",106
"175 hp @ 6,300 RPM",105
"416 hp @ 6,000 RPM",105
"305 hp @ 6,000 RPM",102
"110 hp @ 5,000 RPM",102
"577 hp @ 5,500 RPM",102
175 hp @ 600 RPM,102
"250 hp @ 5,600 RPM",102
"310 hp @ 5,200 RPM",101
"165 hp @ 5,600 RPM",101
"244 hp @ 5,600 RPM",100
"400 hp @ 5,900 RPM",99
"248 hp @ 6,500 RPM",98
"456 hp @ 5,500 RPM",98
"190 hp @ 4,600 RPM",97
