sp_name,count
Grand Prize Auto,285
Plaza Auto Mall,285
Wide World BMW,285
Vic Canever Chevrolet,284
The Highline Group,283
Heritage Chrysler Dodge Jeep Ram Toyota of Harrisburg,283
Prestige Volvo,283
Nissan of South Holland,281
Johnson Chrysler Dodge Jeep Ram,281
Peters Honda of Nashua,281
Platinum Preowned LLC,280
East Hills Chevrolet of Freeport,280
Handy Toyota,280
New Rochelle Hyundai,279
Bald Hill Kia,279
Bay Ridge Nissan,278
Burlington Chevrolet,278
Thompson Toyota,276
AutoMax Preowned Framingham,276
Castle Chevrolet North of Elk Grove Village,276
Holman Ford Lincoln Turnersville,276
Ballas Buick GMC,276
Auto Express,275
Bergey's Buick GMC,275
Burlington Subaru,275
Prime Acura,275
Quality Chevrolet,275
Lia Nissan of Colonie,275
McGovern Ford,274
Jaguar Land Rover Parsippany,274
Bell Audi,274
Buhler and Bitter,274
South Suburban Mitsubishi,274
Kelly Nissan,274
Heritage Mazda Bel Air,274
Prime Honda - Boston,273
Chevy Chase Acura,273
Mohawk Chevrolet,273
Goss Dodge Chrysler Ram Jeep,272
CarMax White Marsh - Now offering Curbside Pickup,272
Empire Chevrolet of Huntington,271
KC Summers Toyota Buick GMC Hyundai,271
Paul Masse Chevrolet East Providence,271
Towne Toyota,271
Mercedes-Benz of White Plains,270
Car Revolution,270
Princeton Audi VW,269
Honda North,269
Mahwah Ford,268
Twin City Dodge Chrysler,268
Liberty Honda,268
Barlow Chevrolet,268
Empire Ford of New Bedford,268
Gengras Chrysler Dodge Jeep Ram,267
Autoserv of Tilton,267
Mike Raisor Auto Group,267
Boch Toyota South,266
Twin Pine Ford,266
Team Honda,266
PA Auto Sales.com,266
Kelly Mitsubishi,266
Mercedes-Benz of Westwood,265
Fette Ford Kia,264
Palace Chrysler Dodge Jeep Ram,264
Manchester City Nissan,264
Smythe Volvo,263
Jim Riehl's Friendly Lapeer Chrysler Jeep,263
Cargill Chevrolet,262
Prime Toyota Route 2,262
Passport BMW,262
DeFouw Chevrolet BMW,262
Mercedes-Benz of Boston,261
Ruge's Automotive,261
Executive Nissan Jeep,261
DARCARS Chrysler Jeep Dodge of New Carrollton,261
Circle Buick GMC,261
Plaza Ford,261
Richard Chevrolet,260
Grieco Toyota,260
Toyota of Smithfield,260
Scranton Buick GMC Cadillac,260
Koons Ford of Annapolis,259
BMW of Alexandria,259
Route 23 Kia,259
Heritage Chevrolet Buick of Owings Mills,259
Colonial Honda of Dartmouth,259
Castle Ford-Lincoln,259
Brooklyn Chrysler Jeep Dodge Ram,259
Grieco Hyundai of Johnston,258
Rockingham Honda,258
All American Ford of Hackensack,258
Boch Honda West,257
Open Road Chevrolet,256
Exotic Auto Group,255
Bob Bell Chevrolet of Bel Air,255
Barber Auto Group,255
Carman Ford Lincoln,255
Ira Toyota of Manchester,255
Southlake Automall,254
Biener Ford,254
Toyota of Southern Maryland,254
Lindsay Lexus of Alexandria,253
Grote Automotive,253
Bob Jeannotte Buick GMC,253
Harold Zeigler of Kalamazoo,253
Freehold Ford,253
Mercedes-Benz of Catonsville,253
Sutton Ford Lincoln,252
BMW of Bridgeport,252
Heritage Chrysler Jeep Dodge Ram Parkville,252
Chevrolet of Smithtown,251
Fieldhouse Ford Chrysler Dodge Jeep Ram,251
Dick Scott Chrysler Dodge Jeep Ram,251
Prime Honda 128,250
Gene Butman Ford Sales,250
Honda of Valley Stream,250
Sarant Cadillac,250
Axis Motorcars,250
Chevrolet of Homewood,249
Ingersoll Auto of Pawling,249
Bridgewater Kia,249
Heritage Mazda Towson,248
Sunrise Chevrolet,247
White Plains Buick GMC,247
Grieco Ford,247
Nissan of New Rochelle,247
Gengras Ford Lincoln,247
Toyota of Stamford,247
Wellesley Toyota,247
Herb Chambers Chevrolet of Danvers,247
Bill Page Toyota,247
Gerald Nissan of Naperville,246
Land Rover Norwood,246
Waterford Mitsubishi,246
Pepe INFINITI,245
Pearson Ford,245
Keene Dodge Chrysler Jeep Company,245
McGee Toyota of Dudley,244
Rodman Ford Sales,244
Summit Place Kia,244
St Clair Chevrolet Buick GMC,244
Tarbox Toyota,243
Jeff Schmitt Chevrolet South,243
Betten Imports,243
Champaign Ford City Lincoln,243
Toyota of Nashua,243
BMW Peabody,243
Stoneham Ford,242
Terryville Chevrolet,242
Atlantic Subaru,242
Stephen Auto Mall,242
Nissan of Huntington,241
Salvadore Auto Group,241
Herb Chambers Lexus,240
Harold Zeigler Chrysler Dodge Jeep of Plainwell,240
Bob Maxey Ford Incorporated,240
Colonial Hyundai of Downingtown,240
Jack Daniels Volkswagen,239
Tasca Chrysler Jeep Dodge Ram Fiat,238
Ray Catena Lexus of Freehold,238
Circle Infiniti,238
Mitchell Auto Group,238
Tom Wood Nissan,238
Route 18 Chrysler Jeep Dodge Ram,238
Premier Subaru,237
Herb Connolly Hyundai,237
